id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1491776373043695616,1491438039322619906,2022-02-10 19:39:37 India Standard Time,2022-02-10,19:39:37,+0530,1486102271867899905,tinatinasmerch,Tina Smerchansky,,"@RealCandaceO @Facebook @LeadStoriesCom Speaking of fact checking, are you going to correct your Bob Saget cause of death video?!?",en,[],[],[],0,0,0,[],[],https://twitter.com/TinaTinaSmerch/status/1491776373043695616,False,,0,,,,,,,,"[{'screen_name': 'RealCandaceO', 'name': 'Candace Owens', 'id': '878247600096509952'}, {'screen_name': 'Facebook', 'name': 'Facebook', 'id': '217804739'}, {'screen_name': 'LeadStoriesCom', 'name': 'Lead Stories', 'id': '3247925082'}]",,,,
1491776372519444484,1491776372519444484,2022-02-10 19:39:37 India Standard Time,2022-02-10,19:39:37,+0530,1112060347018608640,protecit_online,ProtecIT,,Meta Sues Two Nigerians Who Lured Facebook Users to Phishing Sites  https://t.co/kujRNUEWjf .,en,[],['https://ift.tt/wQVid8T'],[],0,0,0,[],[],https://twitter.com/Protecit_online/status/1491776372519444484,False,,0,,,,,,,,[],,,,
1491776363661082624,1491776363661082624,2022-02-10 19:39:35 India Standard Time,2022-02-10,19:39:35,+0530,455188462,olejpf,John Paul Faour,,Trolling my buddy on Facebook who is a 10 year vet with The Bengals with Jerry Jone memes is pretty fun. He was questioning why the cowboys are always a topic…  https://t.co/13etxefk4R,en,[],[],['https://pbs.twimg.com/tweet_video_thumb/FLPasJgXwAUfVvj.jpg'],0,0,0,[],[],https://twitter.com/olejpf/status/1491776363661082624,False,,1,https://pbs.twimg.com/tweet_video_thumb/FLPasJgXwAUfVvj.jpg,,,,,,,[],,,,
1491776359630311426,1491776359630311426,2022-02-10 19:39:34 India Standard Time,2022-02-10,19:39:34,+0530,54044060,ideeleradio,Ideeleradio,,"[AHORA] #StéfanoCorzo, investigador del Área de Seguridad Ciudadana del @Ideele, conversa con #GlatzerTuesta. en la secuencia #MigrarParaSumar.   📲 Facebook:  https://t.co/Rij5WXQo0W 🎞 YouTube:  https://t.co/YcbWFPvAtw 🎞 Twitter:  https://t.co/4Io9glvTpy  https://t.co/1BRGJXxEks",es,"[{'screen_name': 'ideele', 'name': 'idl', 'id': '114858832'}]","['http://bit.ly/3oD6B5N', 'http://bit.ly/3gAaunk', 'http://bit.ly/3rE0YWI']",['https://pbs.twimg.com/media/FLPajpqXIAYFn1D.jpg'],0,0,0,"['stéfanocorzo', 'glatzertuesta', 'migrarparasumar']",[],https://twitter.com/ideeleradio/status/1491776359630311426,False,,1,https://pbs.twimg.com/media/FLPajpqXIAYFn1D.jpg,,,,,,,[],,,,
1491776339518623749,1491438039322619906,2022-02-10 19:39:29 India Standard Time,2022-02-10,19:39:29,+0530,2284042669,beardown1722,Michael McIntosh,,@HWilliamson612 @350zvan @RealCandaceO @Facebook @LeadStoriesCom Are you implying that someone can't fall or hit their head without being high or drunk?,en,[],[],[],0,0,0,[],[],https://twitter.com/BearDown1722/status/1491776339518623749,False,,0,,,,,,,,"[{'screen_name': 'HWilliamson612', 'name': 'HenryWilliamson612', 'id': '1305668133248794624'}, {'screen_name': '350zvan', 'name': 'Hoge before Doge', 'id': '1359849504401334274'}, {'screen_name': 'RealCandaceO', 'name': 'Candace Owens', 'id': '878247600096509952'}, {'screen_name': 'Facebook', 'name': 'Facebook', 'id': '217804739'}, {'screen_name': 'LeadStoriesCom', 'name': 'Lead Stories', 'id': '3247925082'}]",,,,
1491776333986205698,1491776333986205698,2022-02-10 19:39:28 India Standard Time,2022-02-10,19:39:28,+0530,1920055897,as_c62,AyumuSaito,,【定期】 facebook＝ https://t.co/gVWRiow4kk YouTubeマイチャンネル＝ https://t.co/CPJWIvYC05,ja,[],"['http://facebook.com/ayumu.saito', 'https://www.youtube.com/user/AyumuSaito']",[],0,0,0,[],[],https://twitter.com/AS_C62/status/1491776333986205698,False,,0,,,,,,,,[],,,,
1491776327049183232,1491776327049183232,2022-02-10 19:39:26 India Standard Time,2022-02-10,19:39:26,+0530,1004004854782574592,oyasumiwanan,ポジティブおばけ,,面倒で消してなかった昔付き合ってた人とのFacebook上の画像を夜中に淡々と消してゆく作業 #いろいろな作業,ja,[],[],[],0,0,0,['いろいろな作業'],[],https://twitter.com/oyasumiwanan/status/1491776327049183232,False,,0,,,,,,,,[],,,,
1491776324574355467,1491776324574355467,2022-02-10 19:39:26 India Standard Time,2022-02-10,19:39:26,+0530,733667310565740544,soueujuju7,Índia,,Ai minha lembrança do Facebook 😩🥺,pt,[],[],[],0,0,0,[],[],https://twitter.com/soueujuju7/status/1491776324574355467,False,,0,,,,,,,,[],,,,
1491776322171211776,1491776322171211776,2022-02-10 19:39:25 India Standard Time,2022-02-10,19:39:25,+0530,2814340002,automation1992,RECRUIT Automation,,Publish This Job To Facebook &amp; Twitter  https://t.co/y8FvDOvnDm,en,[],['https://fdo1307.localzohorecruit.com/recruit/ViewJob.na?digest=wsUDBZqcW6zPDKVeMxz@shWvnErSIsn2hSkhI2tyzfA-&embedsource=Twitter'],[],0,0,0,[],[],https://twitter.com/automation1992/status/1491776322171211776,False,,0,,,,,,,,[],,,,
1491776314776252417,1491692161628315649,2022-02-10 19:39:23 India Standard Time,2022-02-10,19:39:23,+0530,1411878386641735686,elonunplugged,Elon Unplugged,,@jhall Can you explain what Kimbal does at Facebook to earn hundreds of millions in comp?,en,[],[],[],0,0,0,[],[],https://twitter.com/ElonUnplugged/status/1491776314776252417,False,,0,,,,,,,,"[{'screen_name': 'jhall', 'name': 'Jim Hall 🤖 🚀✨', 'id': '778623'}]",,,,
