id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1493897221531586568,1493897221531586568,2022-02-16 16:07:07 India Standard Time,2022-02-16,16:07:07,+0530,2478713742,gulrose_views,غولرز شخ,,Just for the sake of arguing Judga sahab is comparing a girl who wears hijab with her own will to a girl and calling her ugliness. Just for the sake of Islamophobia. This is the society.,en,[],[],[],0,0,0,[],[],https://twitter.com/GulRose_views/status/1493897221531586568,False,https://twitter.com/LiveLawIndia/status/1493894445917347840,0,,,,,,,,[],,,,
1493896682308014082,1493896671667048448,2022-02-16 16:04:58 India Standard Time,2022-02-16,16:04:58,+0530,1493809339777175553,hudajustice,#Justice for Huda,,"We must NOT keep letting this happen any longer. The school is NOT showing any support to the Muslim girls. Otago Girls' High School principal, Bridget Davidson,decided to not comment on the Islamophobia, violent behaviours, threats, bullying, discrimination, and the racism the",en,[],[],[],1,0,0,[],[],https://twitter.com/HudaJustice/status/1493896682308014082,False,,0,,,,,,,,[],,,,
1493896625181188096,1493860201325527040,2022-02-16 16:04:45 India Standard Time,2022-02-16,16:04:45,+0530,1473283105343430656,abuzaid55414092,Abuzaid,,"@vijeth_kk @LiveLawIndia It mentions Hijab but no other religious symbol frequently used in schools or daily life, u could see it if u are not blinded by Islamophobia...",en,[],[],[],0,0,0,[],[],https://twitter.com/Abuzaid55414092/status/1493896625181188096,False,,0,,,,,,,,"[{'screen_name': 'vijeth_kk', 'name': 'Vijeth Kumar', 'id': '2459968897'}, {'screen_name': 'LiveLawIndia', 'name': 'Live Law', 'id': '1255161552'}]",,,,
1493896320175820800,1493896320175820800,2022-02-16 16:03:32 India Standard Time,2022-02-16,16:03:32,+0530,2810046137,maria_2_cartena,Maria,,Well France is more and more described as it is: a racist country which has institutionnalized islamophobia! #Islamophobia #France   https://t.co/DuAr8ITGXJ,en,[],['https://www.nytimes.com/2022/02/15/world/europe/france-elections-pecresse-great-replacement.html'],[],0,1,1,"['islamophobia', 'france']",[],https://twitter.com/Maria_2_Cartena/status/1493896320175820800,False,,0,,,,,,,,[],,,,
1493896251242258432,1493896251242258432,2022-02-16 16:03:16 India Standard Time,2022-02-16,16:03:16,+0530,177441861,viarofka,Kazuyuki Yabuki,,What’s behind the dispute about headscarves in Indian schools?  【ディスカッション】インド・学校でのスカーフ着用でヒンズー至上主義者からの抗議を受けるムスリムの女子生徒たち   https://t.co/QBQSqG2sAw #India #HinduNationalism #Headscarf #Headscarves #Islamophobia,ja,[],['https://www.aljazeera.com/program/inside-story/2022/2/10/whats-behind-the-dispute-about-headscarves-in-indian-schools'],[],0,0,0,"['india', 'hindunationalism', 'headscarf', 'headscarves', 'islamophobia']",[],https://twitter.com/Viarofka/status/1493896251242258432,False,,0,,,,,,,,[],,,,
1493895873314627586,1493895873314627586,2022-02-16 16:01:46 India Standard Time,2022-02-16,16:01:46,+0530,76948156,raioxford,Rothermere American Institute,,Many thanks to those who joined us in person and virtually last night for the Winant Lecture!   @NazitaLajevardi delivered a brilliant lecture on The Politics of American Islamophobia.  https://t.co/DDaCVzF5kG,en,"[{'screen_name': 'nazitalajevardi', 'name': 'nazita lajevardi', 'id': '1080878138513477632'}]",[],['https://pbs.twimg.com/media/FLth2EZXIAIYKrg.jpg'],0,0,0,[],[],https://twitter.com/RAIOxford/status/1493895873314627586,False,,1,https://pbs.twimg.com/media/FLth2EZXIAIYKrg.jpg,,,,,,,[],,,,
1493895568145276929,1493153084285018116,2022-02-16 16:00:33 India Standard Time,2022-02-16,16:00:33,+0530,1459146591063863297,hindushtanik,k.m hindushtani,,@007AliKaKa #Islamophobia_In_India,und,[],[],[],0,0,0,['islamophobia_in_india'],[],https://twitter.com/HindushtaniK/status/1493895568145276929,False,,0,,,,,,,,"[{'screen_name': '007AliKaKa', 'name': 'काकावाणी {5.0} کاکاوانی', 'id': '1485509979054481413'}]",,,,
1493895430815432707,1493895430815432707,2022-02-16 16:00:00 India Standard Time,2022-02-16,16:00:00,+0530,2247560024,feminisminindia,Feminism in India,,"The new generation of #Muslim women have examples like Muskan, Aysha and Ladeeda to look up to, who are acutely aware of their Muslimness as an identity they assert with pride in a country rife with communal tensions. #HijabRow #Karnataka #Islamophobia    https://t.co/JBX6xyLuMh",en,[],['https://feminisminindia.com/2022/02/15/asserting-their-muslimness-more-than-ever-unrattled-by-islamophobia-coupled-with-misogyny/'],[],0,0,0,"['muslim', 'hijabrow', 'karnataka', 'islamophobia']",[],https://twitter.com/FeminismInIndia/status/1493895430815432707,False,,0,,,,,,,,[],,,,
1493895282203017217,1493895282203017217,2022-02-16 15:59:25 India Standard Time,2022-02-16,15:59:25,+0530,15699801,yvonneridley,Yvonne Ridley - #indyref2,,Girls banned from education because they wear #hijabs. Imagine the outcry in India if #Sikhs were also banned from wearing turbans. If this was #Afghanistan it would be headline news. #HijabRow #Islamophobia,en,[],[],[],2,8,16,"['hijabs', 'sikhs', 'afghanistan', 'hijabrow', 'islamophobia']",[],https://twitter.com/yvonneridley/status/1493895282203017217,False,https://twitter.com/muslimmirror/status/1493837617149841409,0,,,,,,,,[],,,,
1493895126472540161,1493895126472540161,2022-02-16 15:58:48 India Standard Time,2022-02-16,15:58:48,+0530,2478713742,gulrose_views,غولرز شخ,,Aise vague aur absurd statements se aap sirf dar sakte hai sur kuch nahi. Nahi bhi chaahti hai kayi baar. Aapka point hate speech aur islamophobia hona chaahiye. Jab samjh aayega sabko ke wo galat hai to ye sab kuch sense nahi bachega zyada.,hi,[],[],[],0,0,0,[],[],https://twitter.com/GulRose_views/status/1493895126472540161,False,https://twitter.com/news24tvchannel/status/1493893716888920067,0,,,,,,,,[],,,,
